id,count,avg_rating,avg_weighted_rating,popular_lens,popular_lens_count,best_photo_rating,best_photo_num_ratings,best_photo_catalog_number,best_photo_bird,best_photo_photographer,best_photo_year,best_photo_link,brand,name,cost,megapixels
Canon EOS 450D,3,4.89,2.81,EF100-400mm f/4.5-5.6L IS II USM,1.0,4.96,106,384291031,Tundra Swan,Makail Johannesson,2021,https://macaulaylibrary.org/asset/384291031,Canon,EOS 450D,100.0,12.2
Sony Alpha 7R II,3,4.63,2.18,FE 200-600mm F5.6-6.3 G OSS,1.0,4.92,36,212050861,Purple Sandpiper,Benjamin Clock,2020,https://macaulaylibrary.org/asset/212050861,Sony,Alpha 7R II,1000.0,42.4
Canon EOS-1D X Mark III,2,4.88,2.78,EF400mm f/2.8L IS II USM +2x III,1.0,4.78,160,337342551,Balearic Shearwater,Rafael Armada | Warbler Tours,2021,https://macaulaylibrary.org/asset/337342551,Canon,EOS-1D X Mark III,6500.0,20.1
Nikon D300S,2,4.8,2.25,300.0 mm f/4.0,1.0,4.73,37,95041301,Secretarybird,Kurt Hennige,2018,https://macaulaylibrary.org/asset/95041301,Nikon,D300S,200.0,12.3
Panasonic Lumix DMC-FZ70,2,4.43,2.29,,,4.19,111,87698681,Southern House Wren,Carlos D'Angelo,2015,https://macaulaylibrary.org/asset/87698681,Panasonic,Lumix DMC-FZ70,200.0,16.1
Canon EOS 400D,2,4.96,2.61,,,4.97,60,62216621,Yellow-bellied Tanager,Oscar Johnson,2015,https://macaulaylibrary.org/asset/62216621,Canon,EOS 400D,25.0,10.1
Sony Alpha 77 II,2,4.59,2.27,TAMRON SP 150-600mm F/5-6.3 Di USD A011S,1.0,4.73,73,94379711,Pileated Woodpecker,Alan Hingston,2018,https://macaulaylibrary.org/asset/94379711,Sony,Alpha 77 II,500.0,24.3
Sony Alpha SLT-A77,2,4.85,2.4,70-300mm F4.5-5.6 G SSM,1.0,4.82,61,326304391,Black-throated Green Warbler,Maxwell Ramey,2021,https://macaulaylibrary.org/asset/326304391,Sony,Alpha SLT-A77,400.0,24.3
Canon EOS Rebel T7,2,4.95,2.26,TAMRON SP 150-600mm F/5-6.3 Di VC USD G2 A022,2.0,4.9,31,400424461,Pin-tailed Sandgrouse,Alejandro Sanz,2020,https://macaulaylibrary.org/asset/400424461,Canon,EOS Rebel T7,300.0,24.1
Canon PowerShot G3 X,2,4.89,2.21,8.8-220.0 mm,1.0,4.92,36,204918521,Hazel Grouse,Ruslan  Kirillin,2018,https://macaulaylibrary.org/asset/204918521,Canon,PowerShot G3 X,300.0,20.2
Canon EOS Rebel SL3,2,4.86,2.6,EF100-400mm f/4.5-5.6L IS II USM,1.0,4.9,61,518020801,Brown Pelican,Jill Casperson,2022,https://macaulaylibrary.org/asset/518020801,Canon,EOS Rebel SL3,400.0,24.1
Canon EOS Rebel SL3,2,4.86,2.6,EF100-400mm f/4.5-5.6L IS II USM,1.0,4.9,61,518020801,Brown Pelican,Jill Casperson,2022,https://macaulaylibrary.org/asset/518020801,Canon,EOS Rebel SL3,500.0,24.1
Panasonic Lumix DMC-FZ1000,2,4.78,2.55,,,4.91,127,63658671,Eurasian Oystercatcher,Peter Kaestner,2017,https://macaulaylibrary.org/asset/63658671,Panasonic,Lumix DMC-FZ1000,500.0,20.1
Sony Alpha SLT-A65,2,4.62,2.06,150-600mm F5-6.3 SSM,2.0,4.55,31,171366201,White-headed Pigeon,Peter & Shelly Watts,2018,https://macaulaylibrary.org/asset/171366201,Sony,Alpha SLT-A65,200.0,24.3
Panasonic Lumix DMC-G85,1,4.7,2.0,LEICA DG 100-400/F4.0-6.3,1.0,4.7,23,211833421,Scarlet Robin (Campbell's),Keith Morris,2020,https://macaulaylibrary.org/asset/211833421,Panasonic,Lumix DMC-G85,400.0,16.0
Fujifilm X-T4,1,4.75,2.14,XF150-600mmF5.6-8 R LM OIS WR,1.0,4.75,28,616390858,Ground Parrot,Veeraj Sharma,2024,https://macaulaylibrary.org/asset/616390858,Fujifilm,X-T4,1200.0,26.1
Canon PowerShot SX540 HS,1,4.75,2.05,,,4.75,24,141131751,Black Drongo,George Kuriakose  Basil,2019,https://macaulaylibrary.org/asset/141131751,Canon,PowerShot SX540 HS,200.0,20.3
Panasonic Lumix DMC-FZ200,1,4.76,2.08,,,4.76,25,50953961,Plum-headed Parakeet,Suzanne Cholette,2017,https://macaulaylibrary.org/asset/50953961,Panasonic,Lumix DMC-FZ200,200.0,12.1
Sony Alpha 7C,1,4.74,2.5,E 28-200mm F2.8-5.6 A071,1.0,4.74,50,316787051,Brown Goshawk,Michael Drake,2021,https://macaulaylibrary.org/asset/316787051,Sony,Alpha 7C,1200.0,24.2
Panasonic Lumix DMC-GX7,1,4.73,2.09,,,4.73,26,56741281,Great Slaty Woodpecker,Kai Soon Chan,2017,https://macaulaylibrary.org/asset/56741281,Panasonic,Lumix DMC-GX7,400.0,16.0
Canon EOS Rebel T100,1,4.72,2.52,150-500mm,1.0,4.72,53,495004721,Common Redshank,Jordan Grau,2022,https://macaulaylibrary.org/asset/495004721,Canon,EOS Rebel T100,300.0,18.0
Olympus OM-D E-M5,1,4.71,1.95,LEICA DG 100-400/F4.0-6.3,1.0,4.71,21,91463911,Nicobar Pigeon,Hans-Peter Bieri,2018,https://macaulaylibrary.org/asset/91463911,Olympus,OM-D E-M5,300.0,16.1
Panasonic Lumix DMC-G80,1,4.76,2.08,,,4.76,25,204134441,White-browed Tit-Warbler,Tom Heijnen,2018,https://macaulaylibrary.org/asset/204134441,Panasonic,Lumix DMC-G80,300.0,16.0
Apple iPhone 6s,1,4.78,2.81,iPhone 6s back camera 4.15mm f/2.2,1.0,4.78,79,47732281,Merlin (Taiga),Tim Lenz,2017,https://macaulaylibrary.org/asset/47732281,Apple,iPhone 6s,50.0,12.0
Olympus OM-D E-M10 Mark III,1,4.91,2.87,OLYMPUS M.300mm F4.0,1.0,4.91,77,259840201,Pacific Golden-Plover,Yoav Perlman,2020,https://macaulaylibrary.org/asset/259840201,Olympus,OM-D E-M10 Mark III,500.0,16.1
Nikon D3100,1,4.69,2.14,,,4.69,29,112483061,Spotted Pardalote,ross semmens,2018,https://macaulaylibrary.org/asset/112483061,Nikon,D3100,200.0,14.2
Fujifilm FinePix SL300,1,4.52,1.87,,,4.52,21,24171571,Junin Grebe,Kevin Chumpitaz Trujillo,2016,https://macaulaylibrary.org/asset/24171571,Fujifilm,FinePix SL300,150.0,14.0
Sony Cyber-shot DSC-H400,1,4.32,2.85,,,4.32,137,74561741,European Starling,Carlos Pereira,2017,https://macaulaylibrary.org/asset/74561741,Sony,Cyber-shot DSC-H400,200.0,20.1
Sony Alpha SLT-A55,1,4.34,2.48,150-600mm F5-6.3 SSM,1.0,4.34,70,186144031,Northern Bald Ibis,Doris Guimond et Claude Gagnon,2016,https://macaulaylibrary.org/asset/186144031,Sony,Alpha SLT-A55,500.0,16.2
Fujifilm X-T30,1,4.36,2.06,XF70-300mmF4-5.6 R LM OIS WR,1.0,4.36,33,612250962,Southern Red Bishop,Andrew Black,2023,https://macaulaylibrary.org/asset/612250962,Fujifilm,X-T30,500.0,26.1
Nikon D60,1,4.4,1.92,,,4.4,25,172259461,Coscoroba Swan,Juan Esteban Salazar,2019,https://macaulaylibrary.org/asset/172259461,Nikon,D60,100.0,10.2
Samsung Galaxy S10,1,4.45,1.82,,,4.45,20,351657291,Italian Sparrow,Pedro J. Leitão,2021,https://macaulaylibrary.org/asset/351657291,Samsung,Galaxy S10,150.0,16.0
Panasonic Lumix DC-TZ95,1,4.46,1.97,,,4.46,26,512476641,Eurasian Blackbird,Tomáš Koranda,2022,https://macaulaylibrary.org/asset/512476641,Panasonic,Lumix DC-TZ95,800.0,20.3
Sony Alpha DSLR-A200,1,4.53,2.26,75-300mm F4.5-5.6,1.0,4.53,40,87250111,Alpine Accentor,Matthias Tissot,2015,https://macaulaylibrary.org/asset/87250111,Sony,Alpha DSLR-A200,100.0,10.2
