catalog_number,model,lens,iso,focal_length,flash,f-stop,shutter_speed,dimensions,original_file_size,recorder,microphone,accessories,camera,common_name,scientific_name,photographer,date,year,rating,num_ratings,location,normalized_rating
399511851,NIKON D500,500.0 mm f/5.6,800,500 mm,Flash did not fire,f/8.0,1/4000 sec,1855 pixels x 1256 pixels,356.57 KB,,,,,Bat Falcon,Falco rufigularis,Chris Bick,2021-12-27,2021,4.89,256,North America,4.89
434456861,ILCE-7M2,FE 200-600mm F5.6-6.3 G OSS,500,600 mm,Flash did not fire,f/8.0,1/400 sec,1660 pixels x 1742 pixels,1.62 MB,,,,,Ornate Hawk-Eagle,Spizaetus ornatus,Sergio Andrés  Cuéllar Ramírez,2022-03-28,2022,4.89,116,South America,4.89
616710145,Canon EOS R7,EF100-400mm f/4.5-5.6L IS II USM,1000,100 mm,Flash did not fire,f/5.6,1/800 sec,6098 pixels x 3502 pixels,9.1 MB,,,,,Canary Islands Chaffinch,Fringilla canariensis,Friedemann Arndt,2024-03-10,2024,4.89,28,Africa,4.89
465607491,DC-G9,,200,236 mm,Flash did not fire,f/6.3,1/1000 sec,4026 pixels x 2535 pixels,2.75 MB,,,,,Monk Parakeet,Myiopsitta monachus,Jeff Osborne,2022-07-07,2022,4.89,38,North America,4.89
260222031,NIKON D500,200.0-500.0 mm f/5.6,250,500 mm,Flash did not fire,f/5.6,1/250 sec,4849 pixels x 3194 pixels,2.27 MB,,,,,Masked Duck,Nomonyx dominicus,Rio Dante,2020-09-04,2020,4.89,150,North America,4.89
217969881,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,800,400 mm,"Flash did not fire, auto",f/5.6,1/1250 sec,1200 pixels x 859 pixels,853.32 KB,,,,,Common Nighthawk,Chordeiles minor,Bob Bowhay,2019-07-24,2019,4.89,109,North America,4.89
392110751,NIKON D5600,150.0-600.0 mm f/5.0-6.3,1600,600 mm,Flash did not fire,f/6.3,1/1000 sec,4394 pixels x 3139 pixels,6.49 MB,,,,,Muscovy Duck (Domestic type),Cairina moschata (Domestic type),Henrey Deese,2021-11-25,2021,4.89,44,North America,4.89
243204881,Canon EOS 7D Mark II,150-600mm F5-6.3 DG OS HSM | Sports 014,500,600 mm,"Flash did not fire, auto",f/8.0,1/2000 sec,3642 pixels x 2428 pixels,655.51 KB,,,,,Thick-billed Lark,Ramphocoris clotbey,Amit Goldstein,2020-06-13,2020,4.89,44,Asia,4.89
86731361,NIKON D5200,TAMRON SP AF 150-600mm F5-6.3 VC USD A011N,1000,400 mm,Flash did not fire,f/6.3,1/200 sec,6000 pixels x 4000 pixels,3.39 MB,,,,,White-headed Woodpecker,Dryobates albolarvatus,Frank Lehman,2017-04-23,2017,4.89,38,North America,4.89
113405241,NIKON D500,,280,300 mm,Flash did not fire,f/4.0,1/1250 sec,2447 pixels x 1630 pixels,751.24 KB,,,,,Black Tern,Chlidonias niger,Andrew Garland,2018-07-30,2018,4.89,38,North America,4.89
523265951,ILCE-7M4,FE 200-600mm F5.6-6.3 G OSS,800,600 mm,Flash did not fire,f/6.3,1/1250 sec,3072 pixels x 4608 pixels,1.75 MB,,,,,Siberian Crane,Leucogeranus leucogeranus,Amir Modiri,2022-12-27,2022,4.89,28,Asia,4.89
204500801,Canon EOS 70D,EF100-400mm f/4.5-5.6L IS USM,400,400 mm,"Flash did not fire, auto",f/6.3,1/500 sec,1676 pixels x 1117 pixels,1.09 MB,,,,,Icterine Warbler,Hippolais icterina,Bent Rønsholdt,2019-05-23,2019,4.89,27,Europe,4.89
88369151,DMC-FZ60,,100,108 mm,"Flash did not fire, auto",f/5.2,1/400 sec,4608 pixels x 3456 pixels,6.52 MB,,,,,South American Painted-Snipe,Nycticryphes semicollaris,Martín Toledo,2018-03-01,2018,4.89,27,South America,4.89
524228331,NIKON D500,200.0-500.0 mm f/5.6,400,500 mm,Flash did not fire,f/5.6,1/1600 sec,2400 pixels x 1600 pixels,2.13 MB,,,,,Great Blue Heron,Ardea herodias,Michael Roper,2023-01-14,2023,4.89,135,North America,4.89
124396191,NIKON D7200,200.0-500.0 mm f/5.6,800,500 mm,"Flash did not fire, auto",f/8.0,1/250 sec,2252 pixels x 1501 pixels,3.42 MB,,,,,Black Bittern,Botaurus flavicollis,Dillen  Ng,2018-11-20,2018,4.89,38,Asia,4.89
619536821,ILCE-1,FE 200-600mm F5.6-6.3 G OSS,4000,600 mm,Flash did not fire,f/6.3,1/1000 sec,3541 pixels x 3541 pixels,2.47 MB,,,,,Marsh Wren,Cistothorus palustris,Christopher Carlson,2024-05-24,2024,4.89,37,North America,4.89
294685601,ILCE-7RM3,FE 100-400mm F4.5-5.6 GM OSS,4000,333 mm,Flash did not fire,f/5.6,1/400 sec,3463 pixels x 5192 pixels,10.33 MB,,,,,Boreal Owl,Aegolius funereus,Cameron Eckert,2021-01-02,2021,4.89,123,North America,4.89
443098371,Canon EOS R,,500,600 mm,Flash did not fire,f/4.0,5368708/4294967295 sec,1800 pixels x 1012 pixels,1.39 MB,,,,,Common Murre,Uria aalge,Lukasz Ifczok,2022-04-27,2022,4.89,171,Europe,4.89
387396671,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,200,400 mm,Flash did not fire,f/5.6,1/640 sec,2360 pixels x 1797 pixels,541.93 KB,,,,,Fox Sparrow,Passerella iliaca,Trish Gussler,2021-11-08,2021,4.89,44,North America,4.89
352860941,Canon EOS 7D Mark II,150-600mm F5-6.3 DG OS HSM | Contemporary 015,640,600 mm,Flash did not fire,f/6.3,1/640 sec,1250 pixels x 834 pixels,680.25 KB,,,,,Gray-bellied Hawk,Accipiter poliogaster,Ramón  Moller Jensen,2021-07-07,2021,4.89,27,South America,4.89
248196041,Canon EOS-1D X Mark II,EF100-400mm f/4.5-5.6L IS II USM,1600,400 mm,"Flash did not fire, auto",f/10.0,1/800 sec,3935 pixels x 3148 pixels,2.29 MB,,,,,Osprey,Pandion haliaetus,Chris Murray,2020-07-08,2020,4.89,141,Australia,4.89
260435881,Canon EOS 7D Mark II,EF400mm f/5.6L USM,160,400 mm,Flash did not fire,f/5.6,1/1600 sec,4590 pixels x 3060 pixels,1.7 MB,,,,,Gray Heron,Ardea cinerea,Sky Kardell,2020-09-05,2020,4.89,103,North America,4.89
625301752,Canon EOS R6,RF100-500mm F4.5-7.1 L IS USM,3200,500 mm,Flash did not fire,f/7.1,1/1600 sec,2185 pixels x 1523 pixels,844.06 KB,,,,,Black Scoter,Melanitta americana,Julie Paquette,2024-10-22,2024,4.89,98,North America,4.89
283066111,NIKON D300,,400,600 mm,Flash did not fire,f/7.1,1/1600 sec,2822 pixels x 1881 pixels,6.04 MB,,,,,Canvasback,Aythya valisineria,Dana Siefer,2018-04-04,2018,4.89,71,North America,4.89
417474741,E-M1MarkIII,OLYMPUS M.300mm F4.0,3200,300 mm,Flash did not fire,f/4.0,1/250 sec,2982 pixels x 2236 pixels,1.19 MB,,,,,Tawny-capped Euphonia,Euphonia anneae,Gabriel Willow,2022-02-18,2022,4.89,73,North America,4.89
90010021,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,3200,400 mm,"Flash did not fire, auto",f/7.1,1/640 sec,2918 pixels x 1946 pixels,4.05 MB,,,,,Resplendent Quetzal,Pharomachrus mocinno,Stu Elsom,2017-10-24,2017,4.89,110,North America,4.89
87328311,DSC-RX10M4,,320,159.7 mm,"Flash did not fire, auto",f/4.0,1/320 sec,2975 pixels x 2954 pixels,7.15 MB,,,,,Northern Pygmy-Owl,Glaucidium gnoma,David Zittin,2018-02-24,2018,4.89,83,North America,4.89
383259741,NIKON D500,500.0 mm f/5.6,1000,500 mm,Flash did not fire,f/5.6,1/640 sec,2094 pixels x 1396 pixels,1.95 MB,,,,,Rock Wren,Salpinctes obsoletus,John Gordon,2021-10-27,2021,4.89,75,North America,4.89
43177081,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,100,241 mm,"Flash did not fire, auto",f/5.0,1/1250 sec,2935 pixels x 1955 pixels,267.12 KB,,,,,American Goshawk,Astur atricapillus,Alvan Buckley,2016-12-22,2016,4.89,100,North America,4.89
281601621,DMC-G7,,640,264 mm,Flash did not fire,f/5.5,1/640 sec,3832 pixels x 2156 pixels,8.54 MB,,,,,Lesser Kestrel,Falco naumanni,Ellen Askum,2017-05-02,2017,4.89,56,Europe,4.89
83984151,Canon EOS 7D,EF400mm f/5.6L USM,400,400 mm,"Flash did not fire, auto",f/5.6,1/6400 sec,4861 pixels x 3144 pixels,3.34 MB,,,,,Ross's Goose,Anser rossii,Marshall Iliff,2018-01-03,2018,4.89,100,North America,4.89
257240381,NIKON D500,500.0 mm f/5.6,400,500 mm,Flash did not fire,f/8.0,1/1000 sec,2400 pixels x 1800 pixels,1.54 MB,,,,,Baird's Sandpiper,Calidris bairdii,Gillian Smits,2020-08-22,2020,4.89,108,North America,4.89
291095431,NIKON Z 50,NIKKOR Z DX 50-250mm f/4.5-6.3 VR,280,240 mm,Flash did not fire,f/7.1,1/320 sec,3200 pixels x 2128 pixels,2.74 MB,,,,,Ruddy Turnstone,Arenaria interpres,José Ramón Martínez,2020-12-26,2020,4.89,53,Europe,4.89
447369961,NIKON D7500,200-500mm f/5.6,1250,500 mm,Flash did not fire,f/5.6,1/250 sec,4300 pixels x 2867 pixels,9.85 MB,,,,,Golden-winged Warbler,Vermivora chrysoptera,Cameron Chevalier,2022-05-11,2022,4.89,74,North America,4.89
414179791,COOLPIX P1000,,400,467 mm,Flash did not fire,f/7.1,1/160 sec,3803 pixels x 2505 pixels,6.27 MB,,,,,Black Wheatear,Oenanthe leucura,Jose Pozo,2021-06-21,2021,4.89,27,Europe,4.89
614036310,Canon EOS 6D Mark II,EF100-400mm f/4.5-5.6L IS II USM,2000,400 mm,Flash did not fire,f/7.1,1/400 sec,4483 pixels x 2989 pixels,8.15 MB,,,,,Dark-eyed Junco (Oregon),Junco hyemalis [oreganus Group],Michael Long,2024-01-26,2024,4.89,65,North America,4.89
213022661,NIKON D5300,,640,460 mm,Flash did not fire,f/6.3,1/500 sec,1800 pixels x 1200 pixels,1.39 MB,,,,,Western Black-eared Wheatear,Oenanthe hispanica,Manuel Segura Herrero,2018-05-29,2018,4.89,121,Europe,4.89
