catalog_number,model,lens,iso,focal_length,flash,f-stop,shutter_speed,dimensions,original_file_size,recorder,microphone,accessories,camera,common_name,scientific_name,photographer,date,year,rating,num_ratings,location
620406798,ILCE-6700,FE 200-600mm F5.6-6.3 G OSS,1600,518 mm,Flash did not fire,f/7.1,1/1250 sec,1910 pixels x 2547 pixels,2.74 MB,,,,,Sedge Warbler,Acrocephalus schoenobaenus,Andrej Bremer,2024-06-14,2024,4.91,23,Europe
476659751,ILCE-7M3,FE 200-600mm F5.6-6.3 G OSS,2000,600 mm,Flash did not fire,f/6.3,1/1000 sec,1600 pixels x 1067 pixels,583.66 KB,,,,,Superb Fairywren,Malurus cyaneus,Robert Berry,2022-08-20,2022,4.91,32,Australia
455960091,SLT-A77V,70-300mm F4.5-5.6 G SSM,320,300 mm,"Flash did not fire, auto",f/5.6,1/500 sec,4007 pixels x 2671 pixels,1.25 MB,,,,,Seaside Sparrow,Ammospiza maritima,Maxwell Ramey,2022-05-28,2022,4.91,53,North America
65826261,Canon EOS 7D Mark II,TAMRON SP 150-600mm F/5-6.3 Di VC USD A011,800,450 mm,"Flash did not fire, auto",f/6.3,1/1600 sec,3831 pixels x 2554 pixels,1.75 MB,,,,,American Bittern,Botaurus lentiginosus,Sean Evans,2016-07-17,2016,4.9,135,North America
534649771,Canon EOS 90D,150-600mm F5-6.3 DG OS HSM | Contemporary 015,3200,531 mm,Flash did not fire,f/6.3,1/1000 sec,6960 pixels x 4640 pixels,11.02 MB,,,,,Purple-crowned Lorikeet,Psitteuteles porphyrocephalus,Zachary Flegg,2023-02-13,2023,4.9,21,Australia
525922251,NIKON D500,,4000,500 mm,Flash did not fire,f/6.3,1/800 sec,4414 pixels x 2946 pixels,2.8 MB,,,,,Barnacle Goose,Branta leucopsis,Dan O'Brien,2023-01-19,2023,4.9,39,North America
615448987,Canon EOS R5,EF100-400mm f/4.5-5.6L IS II USM,640,400 mm,Flash did not fire,f/6.3,1/3200 sec,4373 pixels x 2915 pixels,8.04 MB,,,,,Black-footed Albatross,Phoebastria nigripes,Hao Zheng,2024-02-28,2024,4.9,50,Asia
487665861,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,200,400 mm,Flash did not fire,f/5.6,1/1250 sec,2968 pixels x 1979 pixels,3.71 MB,,,,,Bourke's Parrot,Neopsephotus bourkii,John  Edmond,2022-09-24,2022,4.9,21,Australia
548228531,DC-GX9,,2000,300 mm,Flash did not fire,f/6.7,1/640 sec,4160 pixels x 3124 pixels,5.45 MB,,,,,Red-billed Oxpecker,Buphagus erythroryncha,Thomas Mourez,2023-03-05,2023,4.9,30,Africa
61453121,Canon EOS 7D Mark II,,,,,,,3377 pixels x 2707 pixels,1.2 MB,,,,,Lilac-breasted Roller,Coracias caudatus,Kenneth Trease,2017-05-17,2017,4.9,30,Africa
559342591,Canon EOS 90D,150-600mm F5-6.3 DG OS HSM | Contemporary 015,1000,600 mm,Flash did not fire,f/8.0,1/800 sec,4170 pixels x 2780 pixels,3.79 MB,,,,,Collared Flycatcher,Ficedula albicollis,Noah Konopny Cohen,2023-04-14,2023,4.9,21,Asia
81371301,Canon EOS 7D Mark II,EF300mm f/2.8L IS USM +2x III,1600,600 mm,"Flash did not fire, auto",f/5.6,1/2000 sec,1500 pixels x 1951 pixels,2.63 MB,,,,,Wallcreeper,Tichodroma muraria,Lefteris Stavrakas,2018-01-07,2018,4.9,67,Europe
464524611,NIKON D500,TAMRON SP AF 150-600mm F5-6.3 VC USD A011N,2500,550 mm,Flash did not fire,f/6.3,1/1250 sec,3710 pixels x 2882 pixels,4.7 MB,,,,,Ruffed Grouse,Bonasa umbellus,Yannick Fleury,2022-06-19,2022,4.9,51,North America
493305361,DC-G9,,3200,300 mm,Flash did not fire,f/5.7,0.04 sec,5184 pixels x 3888 pixels,7.13 MB,,,,,Golden Bowerbird,Prionodura newtoniana,Jenny Stiles,2022-09-30,2022,4.9,39,Australia
592481491,Canon EOS 5D Mark III,150-600mm F5-6.3 DG OS HSM | Contemporary 015,1000,600 mm,Flash did not fire,f/6.3,1/800 sec,4150 pixels x 2964 pixels,1.22 MB,,,,,Black Tern,Chlidonias niger,Josiah Vandenberg,2023-07-08,2023,4.9,203,North America
423304341,Canon EOS R5,RF100-500mm F4.5-7.1 L IS USM,12800,500 mm,Flash did not fire,f/7.1,1/2000 sec,1920 pixels x 1080 pixels,1.63 MB,,,,,Anna's Hummingbird,Calypte anna,Patricia Rose,2022-03-07,2022,4.9,130,North America
489977711,Canon EOS R5,RF100-500mm F4.5-7.1 L IS USM,1600,223 mm,Flash did not fire,f/8.0,1/4000 sec,5565 pixels x 3712 pixels,7.68 MB,,,,,Streaked Shearwater,Calonectris leucomelas,Liang-Hsien 亮賢 Chiang 江,2022-10-01,2022,4.9,21,Asia
615382006,NIKON Z 5,NIKKOR Z 24-200mm f/4-6.3 VR,320,200 mm,"Flash fired, return detected",f/6.3,1/200 sec,3578 pixels x 2389 pixels,3.33 MB,,,,,Indian Scops-Owl,Otus bakkamoena,Rahul Panda,2020-01-16,2020,4.9,29,Asia
357640671,NIKON D3500,150.0-600.0 mm f/5.0-6.3,4000,350 mm,Flash did not fire,f/5.6,1/640 sec,6000 pixels x 3590 pixels,7.99 MB,,,,,Eastern Screech-Owl,Megascops asio,Ty Allen,2021-07-29,2021,4.9,62,North America
553869731,ILCE-7SM3,FE 200-600mm F5.6-6.3 G OSS,100,600 mm,Flash did not fire,f/6.3,1/500 sec,4109 pixels x 2311 pixels,1.71 MB,,,,,Egyptian Vulture,Neophron percnopterus,Peter Alexander,2023-04-05,2023,4.9,30,Europe
421565491,Canon EOS 5D Mark IV,EF100-400mm f/4.5-5.6L IS II USM,3200,400 mm,Flash did not fire,f/7.1,1/500 sec,2500 pixels x 1666 pixels,1.81 MB,,,,,Ground Parrot,Pezoporus wallicus,Lachlan Hall,2022-02-24,2022,4.9,153,Australia
618006529,COOLPIX P950,,400,357 mm,Flash did not fire,f/8.0,1/125 sec,4608 pixels x 3456 pixels,3.83 MB,,,,,Blue Rock-Thrush (philippensis),Monticola solitarius philippensis,Jason Talbott,2024-04-26,2024,4.9,42,North America
475077311,NIKON D7200,TAMRON SP AF 150-600mm F5-6.3 VC USD A011N,1250,360 mm,Flash did not fire,f/6.0,1/4000 sec,1920 pixels x 1280 pixels,892.14 KB,,,,,Cory's/Scopoli's Shearwater,Calonectris borealis/diomedea,Fátima Garrido Ceacero,2022-05-07,2022,4.9,30,Europe
625688868,Canon EOS 7D,EF70-300mm f/4-5.6 IS II USM,1250,300 mm,Flash did not fire,f/5.6,1/500 sec,3219 pixels x 2146 pixels,2.57 MB,,,,,White-throated Sparrow,Zonotrichia albicollis,Sasha Smith,2024-11-01,2024,4.9,60,North America
228108621,NIKON D850,500.0 mm f/5.6,800,700 mm,Flash did not fire,f/8.0,1/500 sec,3178 pixels x 2396 pixels,4.57 MB,,,,,Virginia Rail,Rallus limicola,Cristina Araya,2020-04-26,2020,4.9,232,North America
132970561,Canon EOS 7D Mark II,120-300mm,500,269 mm,"Flash did not fire, auto",f/5.0,1/5000 sec,4581 pixels x 2938 pixels,6.31 MB,,,,,Channel-billed Cuckoo,Scythrops novaehollandiae,Chris Barnes,2019-01-01,2019,4.9,21,Australia
100283261,NIKON D5300,200.0-500.0 mm f/5.6,450,500 mm,Flash did not fire,f/5.6,1/1000 sec,3805 pixels x 2736 pixels,6.59 MB,,,,,Red-necked Grebe,Podiceps grisegena,Kathrine Burgsma,2018-05-14,2018,4.9,70,North America
422272151,NIKON D7200,,400,500 mm,"Flash did not fire, auto",f/6.3,1/320 sec,5847 pixels x 3899 pixels,2.14 MB,,,,,Brahminy Starling,Sturnia pagodarum,Seth Miller,2022-03-05,2022,4.9,63,Asia
341610951,ILCE-1,FE 600mm F4 GM OSS,320,600 mm,Flash did not fire,f/4.0,1/500 sec,3840 pixels x 2160 pixels,3.52 MB,,,,,Marsh Warbler,Acrocephalus palustris,babur hakarar,2021-05-23,2021,4.9,21,Europe
558402791,Canon EOS 90D,150-600mm F5-6.3 DG OS HSM | Contemporary 015,160,600 mm,Flash did not fire,f/6.3,1/400 sec,3473 pixels x 2491 pixels,512.99 KB,,,,,Isabelline Shrike,Lanius isabellinus,Joel Soto,2023-04-15,2023,4.9,21,Europe
609345566,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,400,400 mm,Flash did not fire,f/6.3,1/2000 sec,2056 pixels x 1233 pixels,535.15 KB,,,,,Pallid Swift,Apus pallidus,Friedemann Arndt,2022-10-23,2022,4.9,21,Europe
