catalog_number,common_name,scientific_name,photographer,date,year,rating,num_ratings,location,normalized_rating
227260081,Oriental Turtle-Dove,Streptopelia orientalis,Antonio Rodriguez-Sinovas,2017-08-06,2017,4.66,32,Asia,4.66
305312021,Common Potoo,Nyctibius griseus,Adrian Antunez,2021-02-06,2021,4.66,56,South America,4.66
223180331,White-throated Earthcreeper,Upucerthia albigula,Brendan Ryan,2017-11-02,2017,4.66,41,South America,4.66
108092741,Common Ostrich,Struthio camelus,Don Roberson,2018-06-08,2018,4.66,29,Africa,4.66
391651221,Little Grebe,Tachybaptus ruficollis,Antonio Espin Fernandez,2021-11-28,2021,4.66,41,Europe,4.66
94240091,Indian Scops-Owl,Otus bakkamoena,MH Rarities and Uncommoners (proxy account),2015-11-15,2015,4.66,29,Asia,4.66
212183861,Peregrine Falcon,Falco peregrinus,Samyak Kaninde,2020-02-26,2020,4.66,53,Asia,4.66
92371611,Shining Sunbeam,Aglaeactis cupripennis,Heidi Ware Carlisle,2018-02-20,2018,4.65,34,South America,4.65
626669660,Ivory Gull,Pagophila eburnea,Tymon Świtała,2024-11-24,2024,4.65,23,Europe,4.65
84178031,Amur Stonechat,Saxicola stejnegeri,Paul Farrell,2015-02-23,2015,4.65,26,Asia,4.65
25290831,Little Bittern,Botaurus minutus,Georges Olioso,2016-02-22,2016,4.65,26,Europe,4.65
627390719,Black-legged Kittiwake,Rissa tridactyla,Koray Öğreten,2024-12-11,2024,4.65,20,Asia,4.65
449865111,White-capped Tanager,Sericossypha albocristata,Alejandro Ramirez - Kamarija Birding,2022-05-14,2022,4.65,65,South America,4.65
177754871,Imperial Eagle,Aquila heliaca,Harish Thangaraj,2019-01-19,2019,4.65,31,Asia,4.65
304534921,Stygian Owl,Asio stygius,Ana Vanegas,2021-02-04,2021,4.65,51,South America,4.65
396767131,Nordmann's Greenshank,Tringa guttifer,Paula Bowler,2021-12-16,2021,4.65,31,Australia,4.65
271197701,Eurasian Wren,Troglodytes troglodytes,Jaume Lopez Puigbó,2020-10-15,2020,4.65,23,Europe,4.65
243938601,White Monjita,Xolmis irupero,Amed Hernández,2020-06-16,2020,4.65,40,South America,4.65
388251191,Snowy Owl,Bubo scandiacus,Iker Fernández Martínez,2021-11-14,2021,4.65,88,Europe,4.65
315115051,Kentish Plover,Anarhynchus alexandrinus,Diogo  Portela,2021-03-09,2021,4.65,20,Europe,4.65
376188721,Brahminy Starling,Sturnia pagodarum,Pratham Kini,2021-10-09,2021,4.65,34,Asia,4.65
240142081,Golden-rumped Euphonia,Chlorophonia cyanocephala,Geronimo Toledo,2020-05-30,2020,4.65,37,South America,4.65
559785001,Eurasian Nightjar,Caprimulgus europaeus,גבריאל כהן,2023-04-17,2023,4.65,20,Asia,4.65
68061651,Eleonora's Falcon,Falco eleonorae,Oliver Burton,2017-09-02,2017,4.65,107,Asia,4.65
45229341,Northern Pygmy-Owl,Glaucidium gnoma,Peter Kearns,2017-01-12,2017,4.65,139,North America,4.65
611719671,Eastern Yellow Wagtail,Motacilla tschutschensis,Giorgos Oikonomou,2023-11-30,2023,4.65,23,Europe,4.65
180007031,Long-tailed Hawk,Urotriorchis macrourus,Miguel Angel Fuentes Rosúa,2019-01-10,2019,4.65,20,Africa,4.65
548316651,Golden Eagle,Aquila chrysaetos,Harold Brewer,2022-04-22,2022,4.65,26,Europe,4.65
77306651,Horned Sungem,Heliactin bilophus,Stephen Jones,2017-12-03,2017,4.65,20,South America,4.65
204844241,Lesser White-fronted Goose,Anser erythropus,Mattias Hofstede,2016-03-06,2016,4.65,20,Europe,4.65
242328661,Dark-faced Ground-Tyrant,Muscisaxicola maclovianus,Agustín Esmoris / Birding Puerto Madryn Tours,2020-06-09,2020,4.65,20,South America,4.65
172590981,Black Jacobin,Florisuga fusca,Matt Gearheart,2019-07-20,2019,4.65,20,South America,4.65
40161731,Eurasian Woodcock,Scolopax rusticola,Javier Cañadas,2016-11-12,2016,4.65,51,Europe,4.65
155347721,Golden-backed Mountain Tanager,Cnemathraupis aureodorsalis,Fernando Angulo - CORBIDI,2019-04-23,2019,4.65,23,South America,4.65
308472631,Little Ringed Plover,Thinornis dubius,Malyasri Bhattacharya,2021-02-12,2021,4.65,34,Asia,4.65
493923721,Eurasian Oystercatcher,Haematopus ostralegus,Antonio M Abella,2022-10-14,2022,4.65,48,Europe,4.65
482551201,Willow Warbler,Phylloscopus trochilus,Hong Wang,2022-09-08,2022,4.65,34,Europe,4.65
97825981,Black Falcon,Falco subniger,Graeme Lembcke,2018-04-25,2018,4.65,20,Australia,4.65
324139371,African Blue Tit,Cyanistes teneriffae,Wouter Van Gasse,2019-11-14,2019,4.65,43,Africa,4.65
312550441,Black-necked Stork,Ephippiorhynchus asiaticus,Craig McQueen,2019-06-25,2019,4.65,55,Australia,4.65
168008911,Siberian Stonechat,Saxicola maurus,Mahathi Narayanaswamy,2018-12-25,2018,4.65,26,Asia,4.65
376690061,White-throated Tapaculo,Scelorchilus albicollis,Jaime Mancilla,2021-10-09,2021,4.86,43,South America,4.644
90843741,Eurasian Eagle-Owl,Bubo bubo,Don de la Rambelje,2015-03-06,2015,4.64,36,Europe,4.64
517103581,Northern Wheatear,Oenanthe oenanthe,sarawin Kreangpichitchai,2022-12-13,2022,4.64,22,Asia,4.64
236124651,Black-headed Gull,Chroicocephalus ridibundus,Miguel Vallespir Castello,2020-05-17,2020,4.64,45,Europe,4.64
77450861,Blue-tufted Starthroat,Heliomaster furcifer,Gustavo Pinto,2017-11-17,2017,4.64,28,South America,4.64
318760541,Indian Roller,Coracias benghalensis,Ranjeet Singh,2021-03-21,2021,4.64,28,Asia,4.64
390796451,Spotted Dove,Spilopelia chinensis,Pranad Patil,2021-11-24,2021,4.64,50,Asia,4.64
617505763,Northern Wheatear,Oenanthe oenanthe,Waseem Bhat,2024-04-15,2024,4.64,22,Asia,4.64
356068221,Small Buttonquail,Turnix sylvaticus,Esha Munshi,2021-07-21,2021,4.64,42,Asia,4.64
76538071,Marabou Stork,Leptoptilos crumenifer,Daniel S.,2017-11-21,2017,4.64,28,Africa,4.64
345932301,House Sparrow,Passer domesticus,Rafael García,2021-06-06,2021,4.64,22,Europe,4.64
176298171,Himalayan Cutia,Cutia nipalensis,Shakti - Tribesmen.in,2019-05-01,2019,4.64,55,Asia,4.64
401847871,Fuerteventura Stonechat,Saxicola dacotiae,Gareth Hughes,2016-02-20,2016,4.64,22,Africa,4.64
571290691,African Penguin,Spheniscus demersus,Luke Goddard,2023-05-13,2023,4.64,44,Africa,4.64
164356971,Ringed Kingfisher,Megaceryle torquata,Rodrigo Trecaman,2018-05-23,2018,4.64,28,South America,4.64
149194661,Bank Swallow,Riparia riparia,Al Božič,2019-04-05,2019,4.64,66,Europe,4.64
89709801,Brush Bronzewing,Phaps elegans,Mark Bennett,2017-02-03,2017,4.64,36,Australia,4.64
81691741,Spot-bellied Eagle-Owl,Ketupa nipalensis,Prashant Kumar,2018-01-12,2018,4.64,39,Asia,4.64
104155511,Western House-Martin,Delichon urbicum,Khemthong Tonsakulrungruang,2018-05-31,2018,4.64,44,Europe,4.64
269677831,Nankeen Night Heron,Nycticorax caledonicus,Peter Roupas,2020-10-09,2020,4.64,42,Australia,4.64
216896211,Red-crested Pochard,Netta rufina,Brian Carruthers,2020-03-19,2020,4.63,38,Europe,4.63
612928283,White-throated Sparrow,Zonotrichia albicollis,Eric Mozas Casamayor,2024-01-01,2024,4.63,27,Europe,4.63
414236471,Black-footed Albatross,Phoebastria nigripes,u7 Liao,2022-02-06,2022,4.63,59,Asia,4.63
196425921,Short-eared Owl,Asio flammeus,Prem Prakash Garg,2019-12-29,2019,4.63,27,Asia,4.63
216017771,Great Crested Grebe,Podiceps cristatus,Bob  Wood,2020-03-16,2020,4.63,46,Europe,4.63
61044661,Golden Eagle,Aquila chrysaetos,Saurabh Sawant,2017-03-11,2017,4.63,43,Asia,4.63
216406531,King Penguin,Aptenodytes patagonicus,Jeff Daley,2019-12-27,2019,4.63,46,Antarctica,4.63
82309001,Sarus Crane,Antigone antigone,Indranil Bhattacharjee,2017-12-27,2017,4.63,38,Asia,4.63
40558591,Peregrine Falcon (Shaheen),Falco peregrinus peregrinator,SANDIPAN GHOSH,2016-11-08,2016,4.63,110,Asia,4.63
204824661,White-shouldered Ibis,Pseudibis davisoni,Luis Mario Arce,2016-03-26,2016,4.63,27,Asia,4.63
460764841,Verditer Flycatcher,Eumyias thalassinus,Flying Osprey,2022-06-19,2022,4.63,62,Asia,4.63
345953481,Vernal Hanging-Parrot,Loriculus vernalis,Ashwini Bhatt,2021-06-06,2021,4.63,54,Asia,4.63
109972141,Kelp Gull,Larus dominicanus,Natalia Villar,2018-08-04,2018,4.62,26,South America,4.62
416471901,European Stonechat,Saxicola rubicola,Ana Amaral,2022-02-15,2022,4.62,65,Europe,4.62
363833601,Gray-headed Fish-Eagle,Icthyophaga ichthyaetus,Zaber Ansary -BirdingBD Tours,2020-11-28,2020,4.62,34,Asia,4.62
499617911,Great Cormorant,Phalacrocorax carbo,Paul Passant,2022-11-01,2022,4.62,21,Asia,4.62
491466871,Pink-footed Goose,Anser brachyrhynchus,Zsolt Semperger,2022-10-08,2022,4.62,34,Europe,4.62
194513781,Northern Pintail,Anas acuta,Jacob Spinks,2019-12-17,2019,4.62,24,Europe,4.62
205935471,Elliot's Storm-Petrel,Oceanites gracilis,John Holmes,2017-10-23,2017,4.62,39,South America,4.62
31356571,Greater Ani,Crotophaga major,Phil Kahler,2016-07-13,2016,4.62,21,South America,4.62
86063461,White-tipped Sicklebill,Eutoxeres aquila,Diego Calderón-Franco @diegoCOLbirding,2018-02-08,2018,4.62,37,South America,4.62
369613181,Red-backed Kingfisher,Todiramphus pyrrhopygius,Michael F,2021-09-15,2021,4.62,50,Australia,4.62
190928011,White-throated Nightjar,Eurostopodus mystacalis,Matteo Grilli,2019-12-02,2019,4.62,42,Australia,4.62
